item,joke,embedding
53,"
The Pope dies and, naturally, goes to heaven. He's met by the reception
committee, and after a whirlwind tour he is told that he can enjoy any
of the myriad of recreations available.
<p>He decides that he wants to read all of the ancient original text of the
Holy Scriptures, so he spends the next eon or so learning languages.
After becoming a linguistic master, he sits down in the library and
begins to pour over every version of the Bible, working back from most
recent ""Easy Reading"" to the original script.
<p>All of a sudden there is a scream in the library. The Angels come
running in only to find the Pope huddled in his chair, crying to himself
and muttering, ""An 'R'! The scribes left out the 'R'."" 
A particularly concerned Angel takes him aside, offering comfort, asks
him what the problem is and what does he mean. 
<p>After collecting his
wits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'.
The word was supposed to be CELEBRATE!""
","[ 7.6325278e-04  1.8704822e-03 -1.6828869e-03 -4.4306242e-04
  1.9954764e-03  2.4589952e-03 -1.2217512e-03 -1.4327314e-03
  4.7071441e-03  5.3349328e-03 -1.6100758e-03  3.3285522e-03
  2.0402442e-03  2.3475247e-03 -4.5085335e-03 -3.3411122e-04
  1.8688905e-03  1.3394967e-03 -2.7460005e-04 -2.3389109e-03
  1.3751939e-03  2.0639712e-03  2.0340676e-03 -1.8219706e-03
  3.7696579e-04 -2.3446677e-03  3.1334180e-03 -2.3159995e-03
 -8.4501167e-05  5.9919409e-03 -1.1998891e-03  6.7042658e-04
 -4.8587392e-03 -3.1328020e-03 -4.3883985e-03 -2.8158759e-04
 -1.6425957e-03 -2.8268532e-03 -1.9398701e-04 -1.3303298e-03
  4.9459696e-04  4.4024899e-03  1.1586674e-03  2.9729907e-03
  2.0814093e-03  7.5004128e-04  2.2875387e-03  1.2395028e-03
  1.2725722e-03  2.2349849e-03 -3.1113343e-03  5.1110722e-03
 -3.2770659e-03  2.1101672e-03 -2.7304175e-03 -3.6054561e-04
 -1.2449314e-03  8.8012725e-04  2.0746393e-03  2.5027213e-03
 -1.2536914e-03  2.6265096e-03  3.7147102e-03  1.2251674e-03
 -8.8815828e-04  1.5617283e-03 -3.7915104e-03  2.3133538e-03
  2.6117682e-03  1.1363867e-03 -4.0625059e-03  6.2922854e-04
 -6.5678527e-04 -1.9270499e-04 -4.3065730e-03 -1.8615752e-03
  4.3450710e-03  2.1919396e-03  2.5309834e-03  4.7430669e-05
 -2.3523681e-03  1.7926190e-03  1.6537199e-03 -1.5720939e-03
 -8.8854821e-04 -2.2152541e-03  1.4770973e-03  2.0241148e-03
 -1.8379537e-03 -9.5718389e-04  4.0343991e-03  4.4860414e-04
  7.5028618e-03 -3.5744424e-03 -1.6048490e-03 -4.1039744e-03
 -1.2435414e-03  3.7092951e-03 -9.0478943e-04  1.6307637e-04]"
54,"
A woman has twins, and gives them up for adoption.  One of
them goes to a family in Egypt and is named ""Amal.""  The other goes to
a  family in Spain; they name him ""Juan.""  Years later, Juan sends a
picture of himself to his mom.  Upon receiving the picture, she tells
her husband that she wishes she also had a picture of Amal.  
<p>Her husband responds, ""But they are twins-if you've seen Juan, you've
seen   Amal.
","[ 6.36629935e-04  1.21073623e-03 -1.23414001e-03 -1.42006524e-04
  1.47828239e-03  1.59850286e-03 -7.73149426e-04 -9.88316955e-04
  3.07224202e-03  3.72334430e-03 -1.25877291e-03  2.30294885e-03
  1.29481836e-03  1.45079545e-03 -3.01869214e-03 -2.56573956e-04
  1.19053514e-03  8.28634307e-04  4.95337663e-05 -1.55800639e-03
  1.01415988e-03  1.31403585e-03  1.47044880e-03 -1.24579086e-03
  2.40473237e-04 -1.58628658e-03  2.25171703e-03 -1.57505623e-03
 -6.42347004e-05  3.89753166e-03 -5.16544911e-04  3.72659648e-04
 -3.02716671e-03 -1.90787832e-03 -3.12801567e-03 -1.14318587e-04
 -1.10995513e-03 -1.97811937e-03  7.12129622e-05 -7.95438536e-04
  4.71029663e-04  2.76242057e-03  8.36550258e-04  2.06878921e-03
  1.26201729e-03  4.20684373e-04  1.46048458e-03  8.78952153e-04
  8.40172288e-04  1.58747064e-03 -2.05434836e-03  3.35665117e-03
 -2.03739782e-03  1.29872141e-03 -1.92108774e-03 -1.98870155e-04
 -7.29600026e-04  6.56612741e-04  1.22507522e-03  1.74401014e-03
 -6.97545591e-04  1.86467846e-03  2.55711703e-03  6.91413763e-04
 -6.92101312e-04  1.11912994e-03 -2.56501418e-03  1.55784353e-03
  1.75196794e-03  7.28447805e-04 -2.56505935e-03  5.06384240e-04
 -6.16746838e-04 -1.14339426e-04 -2.89124739e-03 -1.14789070e-03
  2.89441412e-03  1.50963629e-03  1.70296186e-03 -7.08520602e-05
 -1.53930834e-03  1.24672230e-03  9.52802773e-04 -1.23467261e-03
 -6.26952038e-04 -1.73922593e-03  6.89265202e-04  1.45167881e-03
 -1.09203917e-03 -6.51157927e-04  2.54173344e-03  1.51734974e-04
  5.34188608e-03 -2.52573984e-03 -1.12083100e-03 -2.67760386e-03
 -9.46288346e-04  2.29613157e-03 -4.62312950e-04  2.41246511e-04]"
55,"
A man and Cindy Crawford get stranded on a desert island.  After a couple
of days they fall in love and start sleeping together.  Time pass the
man seems frustrated, Cindy asks if there is anything she can do?  He
says there is one thing, ""Could you put on this baseball cap and go to
the other side of the island and answer me when I call you Bob?""  She
agrees.  Next day he is walking on the other side of the island, runs
into her and says ""Hi Bob!""  
<p>She says ""Hello, what's up?""  
<p>He replies: ""Bob you won't believe it: I've been sleeping with Cindy
Crawford for the past two weeks!!!!""
","[ 6.70544920e-04  1.49464991e-03 -1.46449136e-03 -3.05376132e-04
  1.63382327e-03  2.07981444e-03 -9.73532908e-04 -1.06188166e-03
  3.97854391e-03  4.54726350e-03 -1.14396249e-03  3.10130790e-03
  1.69097120e-03  1.91688270e-03 -3.64359305e-03 -2.51076766e-04
  1.38307130e-03  9.64299892e-04  2.21290429e-05 -2.04292266e-03
  1.26974343e-03  1.62040628e-03  1.71308487e-03 -1.31242187e-03
  2.55353632e-04 -1.92950096e-03  2.52161967e-03 -1.77898328e-03
 -2.69850367e-04  4.85068513e-03 -8.31987592e-04  8.29558703e-04
 -3.96840321e-03 -2.40076520e-03 -3.78118176e-03 -8.88377181e-05
 -1.31236191e-03 -2.52073607e-03 -1.54759255e-04 -1.08677079e-03
  6.36286102e-04  3.59182176e-03  8.20029236e-04  2.42793676e-03
  1.69508986e-03  8.94503493e-04  1.69784110e-03  1.02049357e-03
  1.14954519e-03  1.71636778e-03 -2.59977835e-03  4.16125264e-03
 -2.74597877e-03  1.61078677e-03 -2.27531767e-03 -4.00451041e-04
 -8.13892344e-04  6.51273003e-04  1.92329823e-03  2.04174686e-03
 -1.02357881e-03  2.03954917e-03  3.23383417e-03  8.90480820e-04
 -8.50711891e-04  1.12885213e-03 -3.23143229e-03  1.91825745e-03
  2.35421862e-03  8.73164448e-04 -3.22181941e-03  6.85764186e-04
 -6.08351722e-04 -1.27245032e-04 -3.63865495e-03 -1.60247565e-03
  3.57224350e-03  2.03375123e-03  2.03751284e-03 -1.00720754e-04
 -1.77763426e-03  1.62454881e-03  1.33780099e-03 -1.31274282e-03
 -6.98657415e-04 -1.75090448e-03  1.11927360e-03  1.62135181e-03
 -1.62507629e-03 -7.41365191e-04  3.18787852e-03  2.73367303e-04
  6.15130179e-03 -2.99373502e-03 -1.30181876e-03 -3.50386626e-03
 -9.49026435e-04  2.96353316e-03 -5.87203016e-04  3.64701409e-04]"
56,"
Why are there so many Jones's in the phone book?
<p>Because they all have phones.
","[ 5.9704314e-04  1.6738521e-03 -1.4804312e-03 -4.9423642e-04
  1.9300879e-03  1.9703286e-03 -1.3381226e-03 -1.4084928e-03
  4.2551002e-03  5.2196765e-03 -1.4493670e-03  3.3142921e-03
  2.2841289e-03  2.4972670e-03 -4.5540999e-03 -5.1975471e-04
  1.9642697e-03  1.6746281e-03 -7.7214318e-06 -2.4710563e-03
  1.2253278e-03  1.8597906e-03  2.2139819e-03 -1.9386073e-03
  4.7418437e-04 -2.6387458e-03  3.0423342e-03 -1.9983302e-03
  1.4702673e-05  5.6039332e-03 -1.1192670e-03  8.4521930e-04
 -4.2401128e-03 -2.5921857e-03 -4.1735587e-03 -3.1296271e-04
 -1.3031892e-03 -2.8242336e-03  1.2149802e-04 -1.4291779e-03
  1.9736729e-04  4.1700299e-03  1.3968985e-03  2.6796048e-03
  1.4596508e-03  6.6100789e-04  2.0398318e-03  8.4667571e-04
  1.2866439e-03  2.1602325e-03 -3.1415629e-03  4.9704276e-03
 -3.0970408e-03  2.4821865e-03 -2.5984987e-03 -7.9595193e-04
 -1.3147913e-03  7.5504457e-04  2.0801320e-03  2.4102652e-03
 -1.0181463e-03  2.3305663e-03  3.8979452e-03  1.1776041e-03
 -9.0362626e-04  1.1413727e-03 -3.1923759e-03  2.0581128e-03
  2.8005498e-03  9.6070144e-04 -4.0368540e-03  8.4256614e-04
 -5.3316285e-04  9.2340168e-05 -4.2836061e-03 -1.6560833e-03
  4.0300218e-03  2.6040426e-03  2.3066436e-03  2.4184231e-04
 -2.5269203e-03  1.6778643e-03  1.5460560e-03 -1.5955312e-03
 -7.8925217e-04 -1.9899609e-03  1.0531148e-03  1.8559014e-03
 -2.0835695e-03 -8.0557104e-04  3.6705527e-03  4.4097536e-04
  7.3004295e-03 -3.4399952e-03 -1.3634569e-03 -4.1847909e-03
 -1.2682645e-03  4.0147514e-03 -7.1745930e-04 -8.8780151e-05]"
57,"
How many teddybears does it take to change a lightbulb?
<p>
It takes only one teddybear, but it takes a whole lot of lightbulbs.
","[ 8.5066562e-04  1.2379264e-03 -1.5561297e-03 -1.2719784e-04
  1.7808103e-03  2.1699823e-03 -1.3911213e-03 -1.4730759e-03
  3.8997964e-03  4.8437119e-03 -1.5737177e-03  2.3247162e-03
  1.3611853e-03  1.5453090e-03 -3.7255439e-03  1.4050398e-04
  1.1744557e-03  4.3968510e-04 -5.7488214e-04 -1.8078248e-03
  1.7681458e-03  8.0160558e-04  1.4770750e-03 -1.2943120e-03
 -3.3219931e-05 -2.0245286e-03  2.3624122e-03 -1.9257299e-03
 -1.8821814e-04  4.6744705e-03 -4.3056023e-04  4.1564481e-04
 -3.4610676e-03 -2.0778717e-03 -3.8841872e-03 -5.2417821e-04
 -1.5569020e-03 -1.4969233e-03  2.3848951e-04 -1.0468187e-03
  3.9082847e-04  3.6023473e-03  7.9165603e-04  2.3176027e-03
  1.5833069e-03  1.1143021e-03  1.8947616e-03  1.1962130e-03
  9.6700457e-04  1.5421222e-03 -2.3980059e-03  4.3631657e-03
 -2.2987279e-03  1.0973465e-03 -2.4185693e-03  3.3496439e-05
 -5.7207956e-04  3.1314782e-04  1.1953530e-03  1.5796238e-03
 -3.5248310e-04  2.5456192e-03  2.4217358e-03  6.8164297e-04
 -1.0053280e-03  1.3067293e-03 -3.4248678e-03  1.6549897e-03
  2.0280643e-03  3.5513056e-04 -2.9530639e-03  7.8306388e-04
 -6.0840347e-04 -3.1680765e-04 -4.0908088e-03 -1.4580033e-03
  3.9951261e-03  1.5760123e-03  2.1633150e-03 -5.6326413e-04
 -1.6453541e-03  1.2816256e-03  1.2233398e-03 -1.2865085e-03
 -1.1036894e-03 -1.7878002e-03  4.6419518e-04  1.8478103e-03
 -1.2205617e-03 -8.7948510e-04  2.5931729e-03  1.2373534e-04
  6.3694562e-03 -3.1965005e-03 -1.0723153e-03 -3.1268999e-03
 -9.2414726e-04  2.8040744e-03 -4.9781631e-04  4.7007517e-04]"
58,"
The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.  
A guard answers. 
<p>Chukcha:  ""What is required to become Parliament member?""
<p>Guard:  ""What are you, an idiot?""
<p>Chukcha:  ""Is it required?""
","[ 3.5224349e-04  9.3480496e-04 -9.7884412e-04  1.5976535e-04
  8.9429575e-04  1.4383075e-03 -8.1464608e-04 -6.4915040e-04
  2.1630700e-03  2.6571222e-03 -8.8599435e-04  1.2579648e-03
  9.7832957e-04  9.6838595e-04 -2.0820280e-03 -1.5495476e-04
  7.3307566e-04  5.4326758e-04 -2.1053862e-05 -1.1636658e-03
  6.5654173e-04  8.6927129e-04  9.9906849e-04 -8.5676677e-04
  1.3968532e-04 -1.0825376e-03  1.5024705e-03 -8.7957754e-04
 -1.4719224e-04  2.7636448e-03 -3.7249821e-04  2.7567922e-04
 -2.3264457e-03 -1.4426268e-03 -2.3091757e-03  2.6607495e-05
 -9.3412865e-04 -1.2894014e-03  8.5028674e-05 -8.2736305e-04
  4.9020047e-04  2.1669313e-03  4.5838938e-04  1.4546099e-03
  1.0127167e-03  5.0318590e-04  1.0785396e-03  7.6413737e-04
  3.9750198e-04  9.0590271e-04 -1.5687427e-03  2.4336933e-03
 -1.2446399e-03  9.3688740e-04 -1.4148474e-03  1.2496651e-04
 -7.4469665e-04  5.0464633e-04  1.1479924e-03  1.1358830e-03
 -5.3788134e-04  1.1211515e-03  1.5624237e-03  5.0404854e-04
 -3.8101830e-04  5.7599659e-04 -1.7826415e-03  1.1546297e-03
  1.0869759e-03  6.3286751e-04 -2.0756677e-03  4.6254645e-04
 -3.2680965e-04  1.0824288e-04 -2.1269396e-03 -1.2045552e-03
  2.0944381e-03  1.2899890e-03  1.2261706e-03  2.0158332e-04
 -1.4001472e-03  6.6676602e-04  5.9543055e-04 -6.3466706e-04
 -7.3001918e-04 -1.0355857e-03  2.9461170e-04  7.0656161e-04
 -1.1206724e-03 -5.3969340e-04  2.0093243e-03  2.5768729e-04
  3.4965347e-03 -1.7788368e-03 -6.4775540e-04 -1.8851412e-03
 -7.7921693e-04  1.5088208e-03 -6.7037047e-04  9.2977003e-05]"
59,"
What did the Buddhist say to the hot dog vendor?
<p>Make me one with everything.
","[ 5.2308879e-04  2.7862326e-03 -2.0003265e-03 -7.9511659e-04
  2.6161843e-03  3.2502681e-03 -1.3662158e-03 -1.5527500e-03
  5.9188940e-03  6.3767922e-03 -1.5766837e-03  4.2844671e-03
  3.1969717e-03  3.0250058e-03 -5.6302720e-03 -1.5843959e-04
  2.4215779e-03  1.5298900e-03 -2.2869113e-04 -3.3313909e-03
  1.6524636e-03  2.4558150e-03  2.5042482e-03 -2.3357321e-03
  3.7797456e-04 -3.5224899e-03  3.4884620e-03 -2.7146011e-03
  8.5319880e-05  7.3672170e-03 -1.5552957e-03  4.0015043e-04
 -6.4099398e-03 -3.8292932e-03 -5.5207186e-03 -4.0706387e-04
 -1.8592870e-03 -3.7282428e-03 -4.4056421e-04 -1.5939822e-03
  7.3049049e-04  5.6571970e-03  1.2770811e-03  3.7634417e-03
  2.8281319e-03  1.3568888e-03  2.9449447e-03  1.8287188e-03
  1.6020952e-03  2.6748222e-03 -3.6321513e-03  6.4294604e-03
 -4.6677650e-03  3.0155478e-03 -3.4064704e-03 -4.3732065e-04
 -1.3800903e-03  1.4864511e-03  2.6882335e-03  3.3527762e-03
 -1.7171085e-03  3.1154177e-03  4.4163084e-03  1.1038970e-03
 -1.0637379e-03  2.2040431e-03 -5.1871361e-03  2.9121577e-03
  3.1836648e-03  1.5856901e-03 -5.4776473e-03  7.4939436e-04
 -5.5508048e-04 -2.1392874e-04 -5.2948282e-03 -2.4973194e-03
  5.1983488e-03  2.8856765e-03  3.2179260e-03  2.2528095e-04
 -3.3819887e-03  2.2844065e-03  2.2543357e-03 -1.9509427e-03
 -9.3436742e-04 -2.5725898e-03  1.5169100e-03  2.3193699e-03
 -3.0008049e-03 -8.1149535e-04  5.1000598e-03  8.1239169e-04
  9.7179990e-03 -4.6902709e-03 -1.9059746e-03 -4.9275304e-03
 -1.4971279e-03  4.4595352e-03 -1.4291572e-03  7.4743009e-05]"
60,"
<p>During a recent publicity outing, Hillary sneaked off to visit a
fortune teller of some local repute.  In a dark and hazy room, peering
into a crystal ball, the mystic delivered grave news.
<p>""There's no easy way to say this, so I'll just be blunt: Prepare
yourself to be a widow.  Your husband will die a violent and horrible
death this year.""
<p>Visibly shaken, Hillary stared at the woman's lined face, then at 
the single flickering candle, then down at her hands.  She took a few 
deep breaths to compose herself.  She simply had to know.  She met the
fortune teller's gaze, steadied her voice, and asked her question.
<p>""Will I be acquitted?""
","[ 4.8327443e-04  1.1094176e-03 -1.3286477e-03 -3.8855890e-04
  1.3498181e-03  1.8009354e-03 -1.1855594e-03 -1.1610539e-03
  3.7827624e-03  4.2387242e-03 -1.4729989e-03  2.5391341e-03
  1.6283570e-03  1.6848916e-03 -3.1945298e-03 -2.5400765e-05
  1.3405220e-03  8.0830406e-04 -2.3223912e-04 -1.6309074e-03
  1.2376902e-03  1.1914489e-03  1.3419115e-03 -1.1284903e-03
  3.8515544e-04 -1.8521432e-03  2.4488401e-03 -1.7432024e-03
 -2.0405301e-04  4.4905492e-03 -5.5974728e-04  2.2531323e-04
 -3.7252156e-03 -2.0766968e-03 -3.6290418e-03 -2.0305369e-04
 -1.6146905e-03 -2.1244960e-03  5.2495456e-05 -6.6264637e-04
  3.1390888e-04  3.3152583e-03  9.6412818e-04  2.3168062e-03
  1.6360772e-03  6.2345219e-04  1.5916992e-03  9.4032998e-04
  1.2083882e-03  1.6770022e-03 -2.2530165e-03  3.7693596e-03
 -2.3026976e-03  1.2491647e-03 -2.1283708e-03 -1.4386229e-04
 -9.1745291e-04  6.6510180e-04  1.0976214e-03  1.8333065e-03
 -8.5823616e-04  1.9671076e-03  2.9035090e-03  8.6651463e-04
 -7.4410724e-04  1.3264158e-03 -3.1164116e-03  1.8016379e-03
  2.0204715e-03  4.9023860e-04 -3.1032120e-03  6.5410673e-04
 -3.5143335e-04 -3.2102398e-04 -3.3656969e-03 -1.3665356e-03
  3.4049319e-03  1.3850614e-03  2.1646458e-03 -3.7874180e-04
 -1.5382170e-03  1.4843926e-03  1.0291099e-03 -1.1249771e-03
 -8.5598056e-04 -1.7258738e-03  1.0927723e-03  1.6859417e-03
 -1.3023560e-03 -6.7569938e-04  2.8877256e-03  2.5251723e-04
  5.9634489e-03 -2.9237678e-03 -1.2456997e-03 -2.7702274e-03
 -8.6724106e-04  2.7599910e-03 -7.4868038e-04  4.9441773e-04]"
61,"
A group of  managers were given the assignment to measure the
height of a flagpole. So they go out to the flagpole with ladders
and tape measures, and they're falling off the ladders, dropping
the tape measures - the whole thing is just a mess.
An engineer comes along and sees what they're trying to do,
walks over, pulls the flagpole out of the ground, lays it flat,
measures it from end to end, gives the measurement to one of the
managers and walks away.
<p>After the engineer has gone, one manager turns to another and
laughs. ""Isn't that just like an engineer, we're looking for the 
height and he gives us the length.""
","[ 6.8076688e-04  2.2276840e-03 -1.8806615e-03 -4.3006311e-04
  2.0768519e-03  2.9056964e-03 -1.3138929e-03 -1.3930129e-03
  5.0244546e-03  5.6672748e-03 -1.5742793e-03  3.4132609e-03
  2.1162750e-03  2.4229747e-03 -4.9349605e-03 -2.9316949e-04
  1.8475252e-03  1.2736174e-03 -2.6464404e-04 -2.5897482e-03
  1.5815179e-03  2.1668752e-03  2.2587678e-03 -1.9366106e-03
  3.3374905e-04 -2.4921675e-03  3.0927171e-03 -2.3382555e-03
 -1.3745808e-04  6.1930302e-03 -1.1245576e-03  5.4759416e-04
 -5.0887200e-03 -3.0509175e-03 -4.6847458e-03 -1.5161310e-04
 -1.7955265e-03 -2.9879238e-03 -1.8600306e-04 -1.3874272e-03
  6.7043374e-04  4.7611138e-03  1.1372654e-03  3.2461255e-03
  2.1424030e-03  1.0423027e-03  2.3253141e-03  1.2422985e-03
  1.1759406e-03  2.0766614e-03 -3.1990504e-03  5.3707981e-03
 -3.5758477e-03  2.2488590e-03 -2.8916176e-03 -4.3290190e-04
 -1.3775642e-03  1.0047391e-03  2.1653266e-03  2.5597471e-03
 -1.2394653e-03  2.7512393e-03  3.7430886e-03  1.0131494e-03
 -1.0012931e-03  1.7045160e-03 -4.1577127e-03  2.4776186e-03
  2.7753124e-03  1.1640082e-03 -4.2158449e-03  8.3712465e-04
 -7.7343913e-04 -5.7885763e-06 -4.5569991e-03 -2.1247815e-03
  4.5557446e-03  2.4022940e-03  2.5373003e-03 -9.5515526e-05
 -2.6755491e-03  1.9114162e-03  1.8558927e-03 -1.6592678e-03
 -9.6871529e-04 -2.3239192e-03  1.3863853e-03  2.0345165e-03
 -2.0329729e-03 -9.5745706e-04  4.2986698e-03  3.6608789e-04
  7.9612238e-03 -4.0543266e-03 -1.6477556e-03 -4.1329311e-03
 -1.1742382e-03  3.7631195e-03 -8.9601980e-04  1.6330180e-04]"
62,"
An engineer, a physicist and a mathematician are sleeping in a
room. There is a fire in the room. The engineer wakes up, sees the fire,
picks up the bucket of water and douses the fire and goes back to
sleep. 
<P>
Again there is fire in the room. This time, the physicist wakes
up, notices the bucket, fills it with water, calculates the optimal
trajectory and douses the fire in minimum amount of water and goes
back to sleep. 
<P>
Again there is fire. This time the mathematician wakes up. 
He looks at the fire, looks at the bucket and the water and
exclaims, ""A solution exists"" and goes back to sleep.
","[ 9.6044014e-04  2.1818555e-03 -1.9664024e-03 -4.4632747e-04
  2.1592928e-03  3.0221944e-03 -1.4975808e-03 -1.5180609e-03
  5.4443274e-03  5.9809354e-03 -1.9097609e-03  3.6955674e-03
  2.3146572e-03  2.5102650e-03 -5.1563527e-03 -5.7417672e-04
  1.8990808e-03  1.4139760e-03 -2.8569932e-04 -2.6309984e-03
  1.5428850e-03  2.3844331e-03  2.4948232e-03 -1.9690162e-03
  2.8579854e-04 -2.7717038e-03  3.3865804e-03 -2.6831343e-03
 -3.6388828e-04  6.3863127e-03 -1.2291787e-03  9.4541698e-04
 -5.2811173e-03 -3.6392533e-03 -5.3917645e-03 -2.0595595e-04
 -1.8528008e-03 -3.2596965e-03 -1.9027492e-04 -1.3931066e-03
  5.9543684e-04  4.8577581e-03  1.2064771e-03  3.4827793e-03
  2.3654639e-03  1.0959377e-03  2.6132183e-03  1.3353898e-03
  1.2247232e-03  2.5826828e-03 -3.5770130e-03  5.6354385e-03
 -3.5699157e-03  2.1734945e-03 -3.3103672e-03 -3.4079287e-04
 -1.4237863e-03  9.1573701e-04  2.3773569e-03  2.6010824e-03
 -1.3240722e-03  2.8296695e-03  4.2864261e-03  1.3708709e-03
 -1.1985654e-03  1.7741221e-03 -4.4070031e-03  2.5491309e-03
  2.9246206e-03  1.1362482e-03 -4.2647356e-03  9.3916804e-04
 -7.0601847e-04 -6.0755163e-05 -4.7097276e-03 -2.1952207e-03
  4.8682871e-03  2.6140527e-03  2.9976515e-03 -6.5776883e-05
 -2.6296303e-03  1.9145134e-03  1.6915117e-03 -1.8643539e-03
 -9.0962421e-04 -2.3805706e-03  1.4065200e-03  2.1945152e-03
 -2.2409384e-03 -9.6165919e-04  4.4635902e-03  4.5056394e-04
  8.5751601e-03 -4.1929232e-03 -1.7731676e-03 -4.5269229e-03
 -1.5414088e-03  4.2773373e-03 -8.6887804e-04  4.2373937e-04]"
63,"
What is the rallying cry of the International Dyslexic Pride movement?
<p>Dyslexics Untie!
","[ 1.1814951e-03  2.2138772e-03 -1.4215374e-03 -5.1246869e-04
  1.6639206e-03  2.7017582e-03 -1.1286950e-03 -1.2200588e-03
  4.6595777e-03  5.1974561e-03 -1.3280525e-03  3.1588010e-03
  1.8793918e-03  2.2004738e-03 -4.4446429e-03 -2.2966642e-04
  1.8394468e-03  1.2686006e-03  3.5103731e-05 -2.5481230e-03
  1.0286213e-03  2.3442607e-03  1.9948261e-03 -1.5490089e-03
  1.4353402e-04 -2.1416428e-03  2.2762464e-03 -2.0129960e-03
 -6.3799665e-04  5.7989457e-03 -1.6779484e-03  7.6021807e-04
 -4.7271722e-03 -3.2492045e-03 -4.2565390e-03  2.7753957e-04
 -1.5353275e-03 -3.0048469e-03 -3.5290283e-04 -1.4028359e-03
  6.9837220e-04  4.3603410e-03  9.0892310e-04  2.7334213e-03
  2.4587454e-03  8.7688753e-04  2.0367384e-03  8.8047324e-04
  8.8999886e-04  2.0257758e-03 -2.9615026e-03  5.1965839e-03
 -3.1575046e-03  2.4455851e-03 -2.6391514e-03 -4.7601727e-04
 -1.1439837e-03  1.0472991e-03  2.6867890e-03  2.2591606e-03
 -1.0007500e-03  2.4021438e-03  3.7865050e-03  8.8494149e-04
 -1.2494955e-03  1.3991216e-03 -3.9431085e-03  2.5943040e-03
  2.4849102e-03  1.5703697e-03 -4.2230515e-03  9.0596027e-04
 -5.2305410e-04 -2.8459754e-04 -4.3028374e-03 -1.9138068e-03
  3.9153942e-03  1.9965984e-03  2.5051006e-03 -7.6918104e-06
 -2.0291728e-03  1.8550869e-03  1.7379263e-03 -1.8647113e-03
 -8.7065931e-04 -2.0873214e-03  1.4773728e-03  1.7130440e-03
 -2.0137106e-03 -7.6033379e-04  3.8729764e-03  4.9513299e-04
  7.0941746e-03 -3.2779267e-03 -1.7489054e-03 -4.1443179e-03
 -1.1248206e-03  3.9606639e-03 -9.4699027e-04 -2.3168051e-05]"
64,"
Two Rednecks were seated at the end of a bar when a young lady
seated a few stools up began to choke on a piece of hamburger.  She was
turning blue and obviously in serious respiratory distress.
One said to the other, ""That gal there is having a bad time!"" 
The other agreed and said ""Think we should go help?""  ""You bet,"" said the
first,and with that, he ran over and said, ""Can you breathe??""  She shook
her head no.  He said, ""Can you speak??""  She again shook her head no.
With that, he pulled up her skirt and licked her on the butt.
<p>She was so shocked, she coughed up the obstruction and began to
breathe-with great relief.
<p>The redneck walked back to his
friend and said, ""Funny how that hind lick maneuver always works.""
","[ 5.7455956e-04  1.4302938e-03 -1.5741006e-03 -2.3286398e-04
  1.7710846e-03  2.1283042e-03 -1.1703849e-03 -1.3707202e-03
  4.2143436e-03  4.8407218e-03 -1.4551341e-03  2.9983867e-03
  1.7389078e-03  1.7679363e-03 -3.7548060e-03 -3.3698187e-04
  1.3382530e-03  1.0248240e-03 -1.0116604e-04 -2.0006592e-03
  1.3355566e-03  1.6366529e-03  1.7960677e-03 -1.5679881e-03
  2.7606185e-04 -2.1030775e-03  2.7742761e-03 -2.0324006e-03
 -2.9454226e-04  5.0394433e-03 -9.6540106e-04  5.7351094e-04
 -4.1896068e-03 -2.4800382e-03 -4.0861773e-03 -2.8499018e-04
 -1.4768882e-03 -2.4795514e-03 -7.5066760e-06 -1.0262878e-03
  5.2341726e-04  3.7639355e-03  8.2062196e-04  2.7470544e-03
  1.6999894e-03  9.3375408e-04  2.0319798e-03  1.0349021e-03
  1.2796754e-03  1.9839006e-03 -2.8279582e-03  4.2639091e-03
 -2.7323407e-03  1.5705074e-03 -2.5183205e-03 -3.3902610e-04
 -9.5177750e-04  7.6735829e-04  1.5635571e-03  2.0553309e-03
 -1.1028722e-03  2.2960561e-03  3.1854170e-03  9.5621537e-04
 -9.1933680e-04  1.4522782e-03 -3.5091189e-03  2.0789136e-03
  2.2900105e-03  8.0886390e-04 -3.3581841e-03  6.5937702e-04
 -6.1920309e-04 -3.9177970e-04 -3.8613263e-03 -1.5797787e-03
  3.8598275e-03  1.9985698e-03  2.2346177e-03 -1.9948142e-04
 -1.9781005e-03  1.7171019e-03  1.3121013e-03 -1.5170085e-03
 -8.9087064e-04 -2.1722456e-03  1.0265255e-03  1.8710690e-03
 -1.5002781e-03 -8.2956499e-04  3.4224719e-03  2.8782766e-04
  6.6774408e-03 -3.3161093e-03 -1.3255569e-03 -3.5542948e-03
 -1.0183776e-03  3.0072038e-03 -6.9790264e-04  4.5104904e-04]"
